source_code,source_description,premise_category,broad_anchor_class
962,MTA - GOLD LINE - SOTO,built_other,built_other
963,MTA - GOLD LINE - MARIACHI PLAZA,built_other,built_other
964,MTA - GOLD LINE - PICO/ALISO,built_other,built_other
965,MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT,built_other,built_other
966,MTA - GOLD LINE - UNION STATION,transit,transit
967,MTA - GOLD LINE - CHINATOWN,built_other,built_other
968,MTA - GOLD LINE - LINCOLN/CYPRESS,built_other,built_other
969,MTA - GOLD LINE - HERITAGE SQ,built_other,built_other
970,MTA - GOLD LINE - SOUTHWEST MUSEUM,built_other,built_other
971,MTA - GOLD LINE - HIGHLAND PARK,public_institutional,public_institutional
972,,unknown,built_other
973,,unknown,built_other
974,,unknown,built_other
975,,unknown,built_other
976,,unknown,built_other
